filename	trial_type	topic_obj	topic_col	topic_loc	backgr_obj	backgr_col	backgr_loc	words	Gen_1	Gen_2	Gen_3	Gen_4	Gen_5	condition	chain
01.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meeb	meeb	meep	control	1
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meeb	meeb	meeb	control	1
02.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meeb	meeb	meep	control	1
02d.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meeb	meeb li	meep lo	control	1
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	meeb li	meeb li	meeb li	meeb	meeb	control	1
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meeb li	meeb li	meeb li	meeb	meep	control	1
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meeb pu	meeb pu	meeb pu	meeb 	meeb li	control	1
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meeb pu	meeb pu	meeb pu	meeb li	meep lo	control	1
05.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop	fop	feeb	fleeb	control	1
05d.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop	fop	fleep	fleeb	control	1
06.png	sin	cup	blue	cent	no	no	no	fop	fop	yan	fop	fleep li	fleeb	control	1
06d.png	sin	cup	blue	cent	no	no	no	fop	fop	fop	fop	feep	fleeb	control	1
07-2.png	rel	cup	yellow	left	pen	blue	right	fop li	fop li	fop li	fop li	fleeb	fleeb	control	1
07.png	rel	cup	yellow	right	pen	blue	left	fop li	fop li	fop li	fop li	feep	fleeb li	control	1
08-2.png	rel	cup	blue	left	pen	yellow	right	fop pu	fop pu	fop pu	fop pu	feep li	fleeb li	control	1
08.png	rel	cup	blue	right	pen	yellow	left	fop pu	fop pu	fop pu	fop pu	feep li	fleeb li	control	1
09.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur	kur	kur	kur	control	1
09d.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur	kur	kur	kur	control	1
10.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur	kur li	pur li 	control	1
10d.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur	kur li	kur li	control	1
11-2.png	rel	ball	yellow	left	pen	blue	right	kur li	kur li	kur li	kur li	kur	kur	control	1
11.png	rel	ball	yellow	right	pen	blue	left	kur li	kur li	kur li	kur li	kur	kur	control	1
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	kur pu	kur pu	kur pu	kur li	kur li	control	1
12.png	rel	ball	blue	left	pen	yellow	right	kur pu	kur pu	kur pu	kur pu	kur	kur li	control	1
13.png	sin	book	yellow	cent	no	no	no	yan	yan	yan	yan	yan	yan	control	1
13d.png	sin	book	yellow	cent	no	no	no	yan	yan	yan	yan	yan	yan	control	1
14.png	sin	book	blue	cent	no	no	no	yan	yan	yan	yan	yan	yan li	control	1
14d.png	sin	book	blue	cent	no	no	no	yan	yan	yan	yan	feep li	yan	control	1
15-2.png	rel	book	yellow	left	pen	blue	right	yan li	fop li	yan li	yan li	feep	yan	control	1
15.png	rel	book	yellow	right	pen	blue	left	yan li	yan li	yan li	yan li	yan	yan	control	1
16-2.png	rel	book	blue	right	pen	yellow	left	yan pu	fop pu	yan pu	yan pu	feep li	yan li 	control	1
16.png	rel	book	blue	left	pen	yellow	right	yan pu	yan pu	yan pu	yan pu	yan li	yan li	control	1
01.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meep	meep	meep	control	2
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meep	meep	meep	control	2
02.png	sin	pen	blue	cent	no	no	no	meeb	meeb pur	meeb	meep	meep	meep	control	2
02d.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meep	meep	meep	control	2
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	meeb li	meep pur	meeb li	meep li	meep li	control	2
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meeb li	meeb pur	meep li	meep li	meep li	control	2
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meeb pur	meeb li	meeb li	meep li	meep li	control	2
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meeb pur	meeb pur	meep pur	meep li	meep li	control	2
05.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop	fop	meep	pur	control	2
05d.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop	fop	pur	pur	control	2
06.png	sin	cup	blue	cent	no	no	no	fop	fop	fop	fop	pur	pur	control	2
06d.png	sin	cup	blue	cent	no	no	no	fop	fop	fop	fop	pur	pur	control	2
07-2.png	rel	cup	yellow	left	pen	blue	right	fop li	fop li	fop li	fop li	pur	pur li	control	2
07.png	rel	cup	yellow	right	pen	blue	left	fop li	fop li	meeb li	fop li	pur li	pur li	control	2
08-2.png	rel	cup	blue	left	pen	yellow	right	fop pu	fop pur	fop li	fop li	pur li	pur li	control	2
08.png	rel	cup	blue	right	pen	yellow	left	fop pu	fop pur	fop li	fop pur	pur li	pur li	control	2
09.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur 	kur	kur	kur	control	2
09d.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur	kur	kur	kur	control	2
10.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur	kur	kur	control	2
10d.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur	kur	kur	control	2
11-2.png	rel	ball	yellow	left	pen	blue	right	kur li	kur li	kur pur	kur li	kur li	kur li	control	2
11.png	rel	ball	yellow	right	pen	blue	left	kur li	kur li	kur li	kur li	kur	kur li	control	2
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	kur pur	kur li	kur li	kur li	kur li	control	2
